product_name,product_url,author,date,rating,text
"Laptop Business ASUS ExpertBook B3, B3402FVA-EC0800X , 14.0-inch, FHD (1920 x 1080) 16:9, Intel® Core™ i5-1335U (pana la 4.6GHz), Intel Iris Xᵉ Graphics, 1x M.2 2280 PCIe 4.0x4, DDR4 16GB, 256GB M.2",https://www.flanco.ro/laptop-business-asus-expertbook-b3-b3402fva-ec0800x-14-0-inch-fhd-1920-x-1080-16-9-intelr-coretm-i5-1335u-pana-la-4-6ghz-intel-iris-x-graphics-1x-m-2-2280-pcie-4-0x4-ddr4-16gb-256gb-m-2.html,Popa Victor,09.04.2025,5,"Laptopul ASUS ExpertBook B3 este rapid, usor de utilizat si perfect pentru un mediu de business. Se descurca excelent la multitasking si sarcini mai complexe. Ecranul este vibrant, iar designul este compact si elegant. Bateria are o autonomie buna, iar sistemul de operare este fluid. Recomand cu incredere acest laptop"
"Telefon mobil Apple iPhone 14 5G, 128GB, Midnight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-midnight.html,Annamaria Fodor,11.06.2023,5,"Un telefon foarte bun, sunt multumita din toate toate punctele de vedere. Chiar daca este aprope identic cu modelul de anul trecut, eu am trecut de la un IPhone 7plus asa ca pentru mine a meritat achizitia. Este foarte performant, camera extrem de buna si poze foarte calitativa. Bateria tine destul de mult iar sunetul este incredibil. In total sunt foarte multumita"
"Laptop Gaming ASUS TUF F16 FX607JV, Intel Core i7-13650HX, 16"", Full HD+, 16GB, 1TB SSD, NVIDIA GeForce RTX 4060, No OS, Mecha Gray",https://www.flanco.ro/laptop-gaming-asus-tuf-f16-fx607jv-intel-core-i7-13650hx-16-full-hd-16gb-1tb-ssd-nvidia-geforce-rtx-4060-no-os-mecha-gray.html,Cristi POPA,04.03.2025,5,"Pot sa spun ca e tot ce aveam nevoie si mai mult, am testat numeroase jocuri complexe, le duce pe setari high si mai ramane si o marja de eroare, ecranul super mare de 165hz are niste culori vivide, trebuie sa spun ca ventilatoarele isi fac treaba cu brio, temperaturile nu cresc momentan peste 800C, bineinteles cu asta vine clasica poluare fonica, zici ca e avion cand incepe sa se raceasca si ajung pana la 6000rpm, dar cu niste casti bune se poate ignora sunetul, sincer mai bine sa fie avion decat sa se supraincalzeasca. Un lucru ce m-a mirat, e foarte usor ca si greutate pentru ce specificatii are. 100 recomand"
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Adrian Encica,25.11.2023,5,Un telefon de calitate
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Simina,09.06.2023,1,"Un telefon foarte slab, bateria scade cu cate 1 procent la fiecare 3-5 min, camera slab calitativa, se misca greu, intra greu in aplicatii, se incalzeste repede ( nefolosit pt rularea unui film sau joc, doar utilizare normala) am un iphone 11 de 3 ani si este cu mult peste acest 14. Nu recomand sub nicio forma"
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Costinel,28.12.2022,4,Cred ca este alegerea perfecta din gama iPhone 2022. Performanta deosebita
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Claudiu,27.09.2022,5,Este un telefon performant
"Laptop Asus Vivobook 15 X1502VA 15.6"", Procesor Intel Core i7-13620H, 16GB DDR4, 1TB SSD, Intel UHD, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-vivobook-15-x1502va-15-6-procesor-intel-core-i7-13620h-16gb-ddr4-1tb-ssd-intel-uhd-no-os-quiet-blue.html,Dorina Alexei,16.05.2025,5,"Pretul este unul foarte bun si laptopul este de calitate cu o configuratie foarte, foarte buna Recomand"
"Laptop gaming Lenovo IdeaPad 3 15ACH6, 15.6"", Full HD, AMD Ryzen 5 5500H, 8GB RAM, GeForce RTX 2050, 512GB SSD, No OS, Shadow Black",https://www.flanco.ro/laptop-gaming-lenovo-ideapad-3-15ach6-15-6-full-hd-amd-ryzen-5-5500h-8gb-ram-geforce-rtx-2050-512gb-ssd-no-os-shadow-black.html,Renata Ioana,06.11.2024,4,"Singurul minus este modul in care a ajuns...
Plin de praf, cateva zgarieturi
In rest e ok"
"Laptop gaming Lenovo IdeaPad 3 15ACH6, 15.6"", Full HD, AMD Ryzen 5 5500H, 8GB RAM, GeForce RTX 2050, 512GB SSD, No OS, Shadow Black",https://www.flanco.ro/laptop-gaming-lenovo-ideapad-3-15ach6-15-6-full-hd-amd-ryzen-5-5500h-8gb-ram-geforce-rtx-2050-512gb-ssd-no-os-shadow-black.html,Ene ianis,11.01.2024,5,"Este foarte bun eu vi-l recomand deoarece se misca foarte bine in jocuri de exemplu fortnite,cs2,roblox,gta5. Se merita sa dati banii pe acest laptop."
